gammas,type,setting,expectation,std_err,total_counts,raw_expectation,raw_std_err,calibration_expectation,calibration_std_err,calibration_counts
-0.7139983303613165,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9433113377324536,0.010843898365960395,8000,-0.78625,0.0069088590757965355,0.8335,0.00617774144094457,8000
-0.6822650712341469,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9553089382123576,0.010770040413607705,8000,-0.79625,0.006764167460425495,0.8335,0.00617774144094457,8000
-0.6505318121069773,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9244151169766046,0.010957348642384354,8000,-0.7705,0.007127241292818404,0.8335,0.00617774144094457,8000
-0.6187985529798077,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.9073185362927414,0.011057041397319556,8000,-0.75625,0.007315560939974687,0.8335,0.00617774144094457,8000
-0.5870652938526381,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8629274145170965,0.01130333284487967,8000,-0.71925,0.007768041741427634,0.8335,0.00617774144094457,8000
-0.5553320347254684,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8554289142171565,0.011343206354758722,8000,-0.713,0.007839742195679131,0.8335,0.00617774144094457,8000
-0.5235987755982987,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.8350329934013196,0.011449218796749388,8000,-0.696,0.008028452964745194,0.8335,0.00617774144094457,8000
-0.4918655164711292,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.777744451109778,0.011728581653399652,8000,-0.64825,0.008513551095549498,0.8335,0.00617774144094457,8000
-0.4601322573439594,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.7831433713257349,0.011703377700091395,8000,-0.65275,0.008470457382487298,0.8335,0.00617774144094457,8000
-0.42839899821679,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.7114577084583082,0.012019883646323844,8000,-0.593,0.009002999875088518,0.8335,0.00617774144094457,8000
-0.3966657390896202,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.629874025194961,0.012334771703599205,8000,-0.525,0.0095162069531062,0.8335,0.00617774144094457,8000
-0.3649324799624507,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.6169766046790641,0.012380370444011204,8000,-0.51425,0.009589309753323914,0.8335,0.00617774144094457,8000
-0.33319922083528103,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.6175764847030594,0.012378274180019841,8000,-0.51475,0.009585955403877364,0.8335,0.00617774144094457,8000
-0.30146596170811146,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.5605878824235153,0.012566902102461449,8000,-0.46725,0.009885438529694346,0.8335,0.00617774144094457,8000
-0.2697327025809417,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.5155968806238752,0.012701190567940269,8000,-0.42975,0.010095895605443307,0.8335,0.00617774144094457,8000
-0.23799944345377225,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.4448110377924415,0.012887379896203572,8000,-0.37075,0.010384196340073874,0.8335,0.00617774144094457,8000
-0.2062661843266025,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.4193161367726455,0.012947142460814623,8000,-0.3495,0.010475921766942918,0.8335,0.00617774144094457,8000
-0.17453292519943298,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.3515296940611877,0.013087796586653358,8000,-0.293,0.010690330228531266,0.8335,0.00617774144094457,8000
-0.14279966607226324,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.31103779244151164,0.013159429654034644,8000,-0.25925,0.010798761796823885,0.8335,0.00617774144094457,8000
-0.11106640694509373,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.21385722855428912,0.013294562002790493,8000,-0.17825,0.01100197698710114,0.8335,0.00617774144094457,8000
-0.07933314781792401,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.17666466706658668,0.013332789175794928,8000,-0.14725,0.011059157644616341,0.8335,0.00617774144094457,8000
-0.04759988869075426,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.13377324535092985,0.013367737313716287,8000,-0.1115,0.011111318617750915,0.8335,0.00617774144094457,8000
-0.015866629563584755,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,-0.04829034193161368,0.013408470834934186,8000,-0.04025,0.011171978062287268,0.8335,0.00617774144094457,8000
0.015866629563584974,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.02189562087582484,0.01341331120291382,8000,0.01825,0.011179176576837715,0.8335,0.00617774144094457,8000
0.04759988869075449,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.055188962207558485,0.013406605162573484,8000,0.046,0.011169202920832616,0.8335,0.00617774144094457,8000
0.07933314781792422,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.1202759448110378,0.013376722551435587,8000,0.10025,0.011124711775547762,0.8335,0.00617774144094457,8000
0.11106640694509373,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.1907618476304739,0.013319169326660859,8000,0.159,0.011038800065603193,0.8335,0.00617774144094457,8000
0.14279966607226344,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.250749850029994,0.013249307711195849,8000,0.209,0.010934112645862902,0.8335,0.00617774144094457,8000
0.17453292519943298,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.3086382723455309,0.013163388379650708,8000,0.25725,0.010804739584422471,0.8335,0.00617774144094457,8000
0.2062661843266027,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.34643071385722857,0.013097321438903787,8000,0.28875,0.010704777144771156,0.8335,0.00617774144094457,8000
0.23799944345377225,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.41841631673665264,0.012949182420262812,8000,0.34875,0.01047904604380802,0.8335,0.00617774144094457,8000
0.26973270258094195,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.4601079784043192,0.0128496874862998,8000,0.3835,0.010326146300153629,0.8335,0.00617774144094457,8000
0.30146596170811146,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.5110977804439112,0.012713927754238023,8000,0.426,0.010115744709925194,0.8335,0.00617774144094457,8000
0.3331992208352812,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.5485902819436113,0.012603952801875748,8000,0.45725,0.00994372487529444,0.8335,0.00617774144094457,8000
0.3649324799624507,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.5986802639472105,0.012443163310917145,8000,0.499,0.009689510350185572,0.8335,0.00617774144094457,8000
0.3966657390896205,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.6730653869226155,0.012173855118249914,8000,0.561,0.009255840524932236,0.8335,0.00617774144094457,8000
0.42839899821679,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.7144571085782844,0.012007409184600666,8000,0.5955,0.00898234680188082,0.8335,0.00617774144094457,8000
0.4601322573439597,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.7432513497300541,0.011884289369536059,8000,0.6195,0.008777078009639564,0.8335,0.00617774144094457,8000
0.4918655164711292,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.7849430113977205,0.0116949254966129,8000,0.65425,0.008455977479386489,0.8335,0.00617774144094457,8000
0.5235987755982991,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.8068386322735452,0.011590028260170148,8000,0.6725,0.008275054580849574,0.8335,0.00617774144094457,8000
0.5553320347254687,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.8224355128974205,0.011512944530977978,8000,0.6855,0.008140608235126212,0.8335,0.00617774144094457,8000
0.5870652938526382,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.8518296340731853,0.011362172752705542,8000,0.71,0.007873706205223544,0.8335,0.00617774144094457,8000
0.6187985529798077,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.8998200359928015,0.011099901647062996,8000,0.75,0.007395561965942751,0.8335,0.00617774144094457,8000
0.6505318121069776,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.9271145770845832,0.010941353508175246,8000,0.77275,0.007096722843812503,0.8335,0.00617774144094457,8000
0.6822650712341471,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.9301139772045592,0.01092349883612753,8000,0.77525,0.007062553691518436,0.8335,0.00617774144094457,8000
0.7139983303613167,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.9523095380923816,0.010788639962904105,8000,0.79375,0.006800801316743397,0.8335,0.00617774144094457,8000
0.7457315894884862,ExperimentResult,Z0_0 * Z0_1→(1+0j)*Z0Z1,0.9349130173965208,0.010894750131163068,8000,0.77925,0.007007304580021096,0.8335,0.00617774144094457,8000
