capture_0_oq,capture_1_oq,capture_2_oq,capture_3_oq,capture_0_result,capture_1_result,capture_2_result,capture_3_result
2.55045276,-3.60075943,-3.09046358,-3.73100191,1,0,0,0
-2.33755503,-1.90047175,-1.62052419,-3.29797342,0,0,0,0
-3.08267362,-2.80319192,-3.58348936,-1.93768404,0,0,0,0
-3.15735489,-3.02098505,-3.87564749,-2.69010309,0,0,0,0
-2.76351105,-2.50941887,-2.66989507,-2.28593387,0,0,0,0
-2.97719892,-2.13194396,-3.05615384,-1.24894623,0,0,0,0
2.09150091,-4.43999842,-2.07511131,-3.01422663,1,0,0,0
-2.80322917,-3.27033289,-2.6201196,-2.7281411,0,0,0,0
0.76062931,-3.10097486,-1.72422547,-1.08815776,1,0,0,0
2.91482136,-0.40314365,-2.23623384,-1.24525698,1,1,0,0
1.95206963,-2.20945217,-2.38127783,-2.24561412,1,0,0,0
-3.16479169,-1.85921639,-4.56088334,-3.1821087,0,0,0,0
-2.3029495,-2.55451947,-2.06247568,-2.2751702,0,0,0,0
1.25664491,-2.50584204,-2.97911372,-3.30517478,1,0,0,0
-2.04437543,-1.39421569,-2.71077696,-2.85679027,0,0,0,0
-2.71367691,-2.87461355,-2.35003419,-2.68520247,0,0,0,0
-1.94951054,-3.07428762,-2.16992944,-2.2264028,0,0,0,0
-2.04787981,-2.97793988,-1.97531972,-2.72070169,0,0,0,0
-2.77116243,-2.19729356,-3.13266926,-1.9392889,0,0,0,0
-2.77909078,-4.26054299,-1.89871192,-3.85372043,0,0,0,0
-3.10689639,-2.08075512,-3.33003327,-3.38349752,0,0,0,0
-2.17724722,-2.16678474,-3.73191237,-1.89718232,0,0,0,0
1.9897379,-1.88127179,-1.93290599,-2.77775694,1,0,0,0
-3.48293371,-2.76561417,-2.664949,-3.09301428,0,0,0,0
-2.56688893,-2.35272851,-2.33032294,-3.37214135,0,0,0,0
2.2342857,-3.01586185,-2.16427725,-2.3760749,1,0,0,0
-2.44108588,-1.4158057,-0.02094666,-1.58545319,0,0,1,0
-1.69424433,-2.4031952,-3.13361026,-2.72201579,0,0,0,0
1.80079602,-3.71501334,-2.32880786,-4.51724119,1,0,0,0
0.09297254,-2.42338162,-3.92771587,-3.15403827,1,0,0,0
-2.0041028,-2.84079481,-1.59777757,-0.54040151,0,0,0,0
3.61342207,-2.3273807,-4.14635129,-2.16235798,1,0,0,0
2.20373422,-2.85203438,-3.08451615,-3.03582177,1,0,0,0
0.86899698,-3.15924138,-2.06757952,-3.49946916,1,0,0,0
-2.14955825,-1.143103,-2.55378168,-0.35123387,0,0,0,1
-1.66582204,-2.64011379,-3.27203758,-1.96279287,0,0,0,0
-1.50272492,-2.9622037,-2.25453563,-2.40761824,0,0,0,0
1.3677001,-0.70544379,-2.14108676,-4.06861305,1,0,0,0
2.45620739,-1.83101986,-3.03004812,-4.18836139,1,0,0,0
1.14537748,-2.3577692,-2.79854387,-3.585824,1,0,0,0
1.56605244,-2.82806084,-2.07288396,-2.97938306,1,0,0,0
-2.45926287,-3.98232564,-2.77211256,-1.19421026,0,0,0,0
1.36490697,-3.03498618,-3.88935804,-2.51953732,1,0,0,0
2.26468239,-3.59431729,-3.37589197,-2.49892306,1,0,0,0
1.23105617,-1.2249805,-1.64647233,-2.34353915,1,0,0,0
-2.57154256,-3.5919033,-4.55563106,-3.44133005,0,0,0,0
1.67657938,-2.57446449,-0.26123412,-1.72329266,1,0,1,0
0.5724824,-1.36166355,-3.23089138,-2.32710261,1,0,0,0
-3.63287516,-2.96884906,-1.50555652,-2.21906565,0,0,0,0
-2.83403154,-3.96461003,-4.62308079,-2.2872163,0,0,0,0
0.99194311,-4.05588523,-1.57904476,-2.03437768,1,0,0,0
-2.24146117,-1.6025953,-1.84865203,-1.38676725,0,0,0,0
1.85723919,-2.15492602,-2.53922828,-2.3519557,1,0,0,0
1.58162136,-2.07304321,-1.72847789,-2.36621983,1,0,0,0
-3.32869142,-0.33752192,-3.23157758,-3.07838079,0,1,0,0
-2.06103567,-3.66658866,-1.8011976,-2.5364982,0,0,0,0
1.73409414,-3.83809544,-2.36964859,-3.47981602,1,0,0,0
1.17159355,-3.19492444,-3.43198627,-2.83799712,1,0,0,0
2.00251937,-1.76561419,-2.04491988,-1.88366473,1,0,0,0
3.20278667,-2.54294742,-2.81201471,-1.48527399,1,0,0,0
-3.24400477,-1.53848566,-2.45168339,-2.5390517,0,0,0,0
-3.44577767,-1.81769077,-3.67390029,-2.8251918,0,0,0,0
-2.15879939,-2.26646997,-4.74913865,-1.88080743,0,0,0,0
-2.5732046,-2.51310077,-2.47718971,-2.37145275,0,0,0,0
-3.07157487,-2.48079747,-3.34724039,-2.95663029,0,0,0,0
1.05017722,0.15380671,-2.26681866,-2.34280806,1,1,0,0
-2.96835378,-1.60495322,-2.73900479,-2.26792656,0,0,0,0
2.37714313,-3.66095863,-2.89053824,-2.73123048,1,0,0,0
-2.34012678,-2.30037328,-3.08970381,-2.52327304,0,0,0,0
1.78848654,-1.69780627,-2.24722195,-4.24205214,1,0,0,0
-2.99568437,-1.55762956,-2.89286468,-2.6408894,0,0,0,0
-3.34617607,-2.00668667,-2.71135829,-3.18225138,0,0,0,0
-3.43344659,-3.55521217,-3.28289866,-3.30342054,0,0,0,0
2.91126501,1.42736696,-3.14460285,-2.00508684,1,1,0,0
-3.34450975,-3.95923778,-1.39432559,-2.6666861,0,0,0,0
1.8438613,-2.71664225,-3.43518034,-1.82790365,1,0,0,0
-2.73865629,-2.79750787,2.7105622,-2.36337744,0,0,1,0
